Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 ardo ,Total,0.0,509.0,0.0,36.0,0.0,0.0
 ardo ,plural ,0.0,3.0,0.0,2.0,0.0,0.0
 ardo ,singular ,0.0,506.0,0.0,34.0,0.0,0.0
 aria ,Total,1933.0,984.0,83.0,28.0,0.6626671237572849,0.7477477477477478
 aria ,plural ,20.0,9.0,5.0,5.0,0.6896551724137931,0.5
 aria ,singular ,1913.0,975.0,78.0,23.0,0.6623961218836565,0.7722772277227723
 ario ,Total,8280.0,1890.0,224.0,62.0,0.8141592920353983,0.7832167832167832
 ario ,plural ,97.0,6.0,31.0,5.0,0.941747572815534,0.8611111111111112
 ario ,singular ,8183.0,1884.0,193.0,57.0,0.8128538790106288,0.772
 aritmo ,Total,2.0,0.0,1.0,0.0,1.0,1.0
 aritmo ,singular ,2.0,0.0,1.0,0.0,1.0,1.0
 arquía ,Total,390.0,0.0,9.0,0.0,1.0,1.0
 arquía ,singular ,390.0,0.0,9.0,0.0,1.0,1.0
 asa ,Total,192.0,20652.0,34.0,33.0,0.009211283822682787,0.5074626865671642
 asa ,plural ,56.0,0.0,15.0,0.0,1.0,1.0
 asa ,singular ,136.0,20652.0,19.0,33.0,0.006542235905329998,0.36538461538461536
 astenia ,Total,2.0,2.0,2.0,1.0,0.5,0.6666666666666666
 astenia ,singular ,2.0,2.0,2.0,1.0,0.5,0.6666666666666666
 astero ,Total,22.0,46.0,2.0,2.0,0.3235294117647059,0.5
 astero ,singular ,22.0,46.0,2.0,2.0,0.3235294117647059,0.5
 astra ,Total,28.0,4.0,3.0,4.0,0.875,0.42857142857142855
 astra ,singular ,28.0,4.0,3.0,4.0,0.875,0.42857142857142855
 astro ,Total,45.0,379.0,7.0,10.0,0.10613207547169812,0.4117647058823529
 astro ,plural ,2.0,0.0,1.0,0.0,1.0,1.0
 astro ,singular ,43.0,379.0,6.0,10.0,0.1018957345971564,0.375
 ataria ,Total,1.0,0.0,1.0,0.0,1.0,1.0
 ataria ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 atario ,Total,83.0,0.0,15.0,0.0,1.0,1.0
 atario ,plural ,23.0,0.0,8.0,0.0,1.0,1.0
