singular,plural,alomorfos_sing,alomorfos_plur
iva,ivas,iva; ativa; itiva,ivas; ativas; itivas
ativa,ativas,iva; ativa; itiva,ivas; ativas; itivas
itiva,itivas,iva; ativa; itiva,ivas; ativas; itivas
ivo,ivos,ivo; ativo; itivo,ivos; ativos; itivos
ativo,ativos,ivo; ativo; itivo,ivos; ativos; itivos
itivo,itivos,ivo; ativo; itivo,ivos; ativos; itivos
iza,izas,,
izo,izos,,
lalia,lalias,,
landia,landias,,
latría,latrías,,
lexia,lexias,,
lisia,lisias,,
lisis,lisis,,
lito,litos,,
loga,logas,,
logía,logías,,
logo,logos,,
mana,manas,,
mancia,mancias,mancia; mancía,mancias; mancías
mancía,mancías,mancia; mancía,mancias; mancías
manía,manías,,
mano,manos,,
maquia,maquias,,
mastía,mastías,,
megalia,megalias,,
menta,mentas,,
metría,metrías,,
metro,metros,,
miento,mientos,miento; mento,mientos; mentos
mento,mentos,miento; mento,mientos; mentos
mnesia,mnesias,,
morfia,morfias,,
ncia,ncias,ncia; nza,ncias; nzas
nza,nzas,ncia; nza,ncias; nzas
nema,nemas,,
nomia,nomias,,
nomía,nomías,,
nta,ntas,,
nte,ntes,,
o,os,,
odoncia,odoncias,,
odonte,odontes,,
oide,oides,,
ol,oles,,
oma,omas,oma; ema; ma,omas; emas; mas
ema,emas,oma; ema; ma,omas; emas; mas
ma,mas,oma; ema; ma,omas; emas; mas
ón,ones,,
ona,onas,,
onimia,onimias,,
ónimo,ónimos,,
opía,opías,,
opsia,opsias,,
opsis,opsis,,
osa,osas,,
osmia,osmias,,
osmosis,osmosis,,
oso,osos,,
ota,otas,,
ote,otes,,
otia,otias,,
óxido,óxidos,,
para,paras,,
paro,paros,,
patía,patías,,
pedia,pedias,,
pepsia,pepsias,,
peya,peyas,,
peyesis,peyesis,,
piteco,pitecos,,
plasia,plasias,,
plastía,plastías,plastía; plastia,plastías; plastias
plastia,plastias,plastía; plastia,plastías; plastias
plejia,plejias,,
pleuro,pleuros,,
plexia,plexias,,
pnea,pneas,,
podo,podos,,
poli,polis,,
polio,polios,,
praxia,praxias,,
praxis,praxis,,
quilia,quilias,,
quiria,quirias,,
quiro,quiros,,
rra,rras,rra; orra; arra; orria,rras; orras; arras; orrias
orra,orras,rra; orra; arra; orria,rras; orras; arras; orrias
arra,arras,rra; orra; arra; orria,rras; orras; arras; orrias
orria,orrias,rra; orra; arra; orria,rras; orras; arras; orrias
rragia,rragias,,
rrea,rreas,,
rreo,rreos,,
rro,rros,rro; orro; arro; orrio,rros; orros; arros; orrios
orro,orros,rro; orro; arro; orrio,rros; orros; arros; orrios
arro,arros,rro; orro; arro; orrio,rros; orros; arros; orrios
orrio,orrios,rro; orro; arro; orrio,rros; orros; arros; orrios
saurio,saurios,,
sca,scas,,
sco,scos,,
scopía,scopías,scopía; scopia,scopías; scopias
scopia,scopias,scopía; scopia,scopías; scopias
scopio,scopios,,
sema,semas,,
semia,semias,,
sepsia,sepsias,,
sfera,sferas,,
sialia,sialias,,
sis,sis,,
sofa,sofas,,
sofía,sofías,,
sofo,sofos,,
soma,somas,,
stasia,stasias,,
stasis,stasis,,
stato,statos,,
stico,sticos,,
stiquio,stiquios,,
stoma,stomas,,
stomo,stomos,,
ta,tas,,
tanasia,tanasias,,
taxia,taxias,,
teca,tecas,,
tecnia,tecnias,,
teco,tecos,,
telia,telias,,
terapia,terapias,,
terma,termas,,
termia,termias,,
termo,termos,,
tipia,tipias,,
tipo,tipos,,
tocia,tocias,,
toma,tomas,,
tomía,tomías,,
tomo,tomos,,
tonía,tonías,,
tono,tonos,,
topo,topos,,
tórax,tórax,,
toria,torias,,
torio,torios,,
triz,trices,,
trofa,trofas,,
trofia,trofias,,
trofo,trofos,,
tropía,tropías,,
itud,itudes,tud; itud; ud,tudes; itudes; udes
tud,tudes,tud; itud; ud,tudes; itudes; udes
ud,udes,tud; itud; ud,tudes; itudes; udes
uca,ucas,,
ucha,uchas,,
ucho,uchos,,
uco,ucos,,
uda,udas,,
udo,udos,,
uela,uelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
huela,huelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
zuela,zuelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
ezuela,ezuelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
ecezuela,ecezuelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
achuela,achuelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
ichuela,ichuelas,uela; huela; zuela; ezuela; ecezuela; achuela; ichuela,uelas; huelas; zuelas; ezuelas; ecezuelas; achuelas; ichuelas
uelo,uelos,uelo; huelo; zuelo; ezuelo; ecezuelo; achuelo; ichuelo,uelos; huelos; zuelos; ezuelos; ecezuelos; achuelos; ichuelos
huelo,huelos,uelo; huelo; zuelo; ezuelo; ecezuelo; achuelo; ichuelo,uelos; huelos; zuelos; ezuelos; ecezuelos; achuelos; ichuelos
